keyword,total_count,pass_count,pass_rate,bayesian_pass_rate,lift,p_value,is_significant,frequency
会计师,115,18,0.1565217391304348,0.05535171712749815,2.850086720547461,5.764301427131889e-05,True,0.0004284665740185321
中医院,263,26,0.09885931558935361,0.055344631017345006,1.8001181441565075,0.0040034080755586825,True,0.0009798844257989038
郦业,12,12,1.0,0.05534059042376889,18.208887381275442,7.526604250443096e-16,True,4.470955554975987e-05
生物科技,537,41,0.07635009310986965,0.05533862489909376,1.3902502469875104,0.03644095558781495,True,0.0020007526108517543
恒宏,14,12,0.8571428571428571,0.05533646881830944,15.60761775537895,6.172491759417279e-14,True,5.216114814138652e-05
重庆市,502,39,0.07768924302788845,0.055336315325562595,1.4146346770313591,0.030618743793929273,True,0.001870349740498288
淅川县,33,13,0.3939393939393939,0.05533455637463764,7.173198059290326,8.34123473975478e-09,True,0.00012295127776183965
人寿保险,558,42,0.07526881720430108,0.05533270798126864,1.3705614157949257,0.040430458829847374,True,0.002078994333063834
天津市,667,48,0.07196401799100449,0.05533157135118824,1.3103846991022805,0.06083176175959029,False,0.002485106129307486
绍兴,202,22,0.10891089108910891,0.05532155654743195,1.9831461504359391,0.002727256714923922,True,0.0007526108517542911
支行,167,20,0.11976047904191617,0.055319196205414166,2.1807050756018493,0.000991403731870755,True,0.0006222079814008249
实业,1617,100,0.06184291898577613,0.05531171701766531,1.1260907471413384,0.22940424963461287,False,0.006024612610330143
照明,316,28,0.08860759493670886,0.05531026406784529,1.6134457173282037,0.012946336602567768,True,0.0011773516294770099
合肥,788,54,0.06852791878172589,0.055306411272662774,1.247817155569637,0.09998023949163146,False,0.0029359274811008983
房地产,1243,79,0.06355591311343524,0.05530055656645147,1.1572824642966693,0.19053614352271425,False,0.00463116479569596
研究院,305,27,0.08852459016393442,0.05529583826059407,1.6119342927686455,0.01598179730130868,True,0.0011363678702230634
企业,1065,69,0.0647887323943662,0.05529494819906181,1.179730731744606,0.1576023020647953,False,0.003967973055041188
材料,1428,89,0.062324929971988796,0.05529239879863732,1.1348676309058223,0.222194980721252,False,0.0053204371104214245
旅行社,343,29,0.08454810495626822,0.05529211379212667,1.539526921448944,0.02330147283869831,True,0.0012779481294639696
商场,127,17,0.13385826771653545,0.055290003671167244,2.437410121903012,0.000612742385740018,True,0.000473176129568292
哈尔滨,364,30,0.08241758241758242,0.05528619058296788,1.5007324764787453,0.027967017574057455,True,0.0013561898516760494
富邦,21,11,0.5238095238095238,0.05528481919816536,9.537988628287136,2.886505494383755e-09,True,7.824172221207977e-05
石家庄,383,31,0.08093994778067885,0.05528433781852778,1.4738263937846965,0.03224917699966691,True,0.0014269799812965027
所在,385,31,0.08051948051948052,0.0552802765115758,1.4661701527780227,0.033015885747113845,True,0.0014344315738881292
代理,278,25,0.08992805755395683,0.05527714166657447,1.6374898724168563,0.01672890787437778,True,0.0010357713702361037
辽宁,405,32,0.07901234567901234,0.055276400353827686,1.438726904199541,0.03796122127166973,True,0.0015089474998043956
第二,444,34,0.07657657657657657,0.055270690773679715,1.3943742589264978,0.05950756549891636,False,0.0016542535553411154
个体经营,716,49,0.06843575418994413,0.0552694704219423,1.2461389408973416,0.11843201373526492,False,0.002667670147802339
集团股份,499,37,0.07414829659318638,0.05526923175402083,1.3501579821787402,0.06192728476327463,False,0.001859172351610848
研究所,139,17,0.1223021582733813,0.05526541111757707,2.2269862264869245,0.0020791572990221793,True,0.0005178856851180519
集镇,67,13,0.19402985074626866,0.05526463472194864,3.5330677008444886,6.359798633532195e-05,True,0.0002496283518194926
鸿泰,31,11,0.3548387096774194,0.05526424496388286,6.461218103033222,4.1463069890247966e-07,True,0.000115499685170213
昆山,394,31,0.07868020304568528,0.055262008012073184,1.4326789563947682,0.04566956385329946,True,0.0014679637405504492
有限,539,39,0.07235621521335807,0.0552615335166862,1.3175261741553659,0.08764871322259973,False,0.002008204203443381
南通,721,49,0.06796116504854369,0.055259443632101994,1.2374972006692047,0.14021499943421406,False,0.0026862991292814055
项目管理,287,25,0.08710801393728224,0.05525880214842094,1.5861400157905439,0.026184509235796724,True,0.0010693035368984237
平安,452,34,0.0752212389380531,0.05525448942726596,1.36969506850302,0.06271546277301292,False,0.0016840599257076218
物业管理,943,61,0.06468716861081654,0.05524981193467924,1.177881368247934,0.19751837097149355,False,0.0035134259069519633
资产,183,19,0.10382513661202186,0.05524943658896713,1.8905402199138437,0.00820517380867529,True,0.000681820722133838
联合,256,23,0.08984375,0.0552482109839496,1.6359547256614655,0.01921543804981196,True,0.0009538038517282106
四川,2014,120,0.05958291956305859,0.05524383185635217,1.0849386721713272,0.35264016574013224,False,0.007503753739768032
厦门,892,58,0.06502242152466367,0.0552432397347459,1.183985950800421,0.1855163739708211,False,0.0033234102958654838
